Method,Clean_AP50,Fog_AP50,Rain_AP50,Snow_AP50,Mixed_AP50,Gap,RTTS_AP50,Mixed_U_Recall,Mixed_A_OSE
Baseline,70.9687,66.5138,65.3148,68.9788,66.5536,4.4151,56.7651,40.5966,202
Full,73.8693,69.5658,69.3923,72.3996,70.0886,3.7807,58.9938,39.7752,242
Det-only,74.1013,N/A,N/A,N/A,70.0930,4.0083,58.4752,39.6887,245
CWD-only,66.6152,N/A,N/A,N/A,60.5953,6.0199,48.2940,30.9987,173
Clean-Det,74.2179,68.6022,69.0131,72.0134,69.4967,4.7212,59.6232,38.4349,213
Shuffled-CWD,74.0496,69.0718,69.0591,72.4937,69.8229,4.2267,58.3171,38.9970,233
Full-Bypass,70.9664,66.5024,65.3159,68.9782,66.5507,4.4157,56.7924,40.5966,202
